team,pts,fg%,3pt%,ft%,oreb,dreb,ast,stl,blk,to,date
Nets,117,0.506,0.3478,0.3696,6,32,29,6,3,9,2019-01-06
Bulls,100,0.4659,0.3889,0.6111,11,33,20,6,4,12,2019-01-06
Nets,95,0.4051,0.2619,0.4762,9,38,19,5,4,23,2019-01-07
Celtics,116,0.5054,0.375,0.3125,6,37,37,13,2,13,2019-01-07
Nets,105,0.4205,0.3667,0.6667,9,45,20,4,4,17,2019-01-11
Raptors,122,0.4571,0.3143,0.4286,13,42,32,10,4,9,2019-01-11
Celtics,102,0.4066,0.3056,0.4722,10,31,21,10,8,10,2019-01-14
Nets,109,0.4302,0.3421,0.5789,13,42,18,5,7,17,2019-01-14
Nets,145,0.5185,0.4444,0.4722,16,41,29,4,3,13,2019-01-16
Rockets,142,0.4286,0.3286,0.4143,10,37,18,7,8,8,2019-01-16
Nets,117,0.4536,0.413,0.2174,9,32,24,5,5,11,2019-01-18
Magic,115,0.5,0.3846,0.4231,12,37,26,5,6,13,2019-01-18
Kings,94,0.4194,0.4,0.24,10,27,26,8,4,14,2019-01-21
Nets,123,0.5,0.3714,0.5714,12,44,25,9,4,16,2019-01-21
Magic,110,0.427,0.3235,0.6765,11,31,22,7,11,13,2019-01-23
Nets,114,0.4778,0.3125,0.5625,12,33,20,7,2,16,2019-01-23
Knicks,99,0.4253,0.2581,0.5484,6,27,17,12,11,8,2019-01-25
Nets,109,0.4048,0.2727,0.9697,18,42,19,5,2,19,2019-01-25
Nets,104,0.3786,0.3824,0.3824,16,32,20,10,5,17,2019-01-28
Celtics,112,0.45,0.325,0.225,16,36,29,11,16,17,2019-01-28
Bulls,117,0.5,0.3214,0.5,5,45,17,6,8,17,2019-01-29
Nets,122,0.4468,0.2857,0.8,7,36,25,11,2,8,2019-01-29
Nets,114,0.4719,0.3235,0.5588,5,41,30,5,7,14,2019-01-31
Spurs,117,0.4,0.3636,0.7576,13,37,23,6,3,9,2019-01-31
Nets,89,0.3626,0.2632,0.3421,8,42,23,6,2,18,2019-02-02
Magic,102,0.4362,0.3704,0.3704,7,42,25,11,8,14,2019-02-02
Bucks,113,0.4257,0.2564,0.4359,15,44,29,9,7,9,2019-02-04
Nets,94,0.3235,0.119,0.5476,16,40,23,5,9,13,2019-02-04
Nuggets,130,0.5051,0.3714,0.4857,12,36,32,7,8,13,2019-02-06
Nets,135,0.5111,0.5588,0.7059,5,35,36,9,5,13,2019-02-06
Bulls,125,0.5412,0.5,0.6786,8,42,27,5,5,16,2019-02-08
Nets,106,0.4149,0.3171,0.3659,6,27,26,9,1,11,2019-02-08
Nets,125,0.5227,0.4878,0.3171,5,26,33,6,3,14,2019-02-11
Raptors,127,0.5435,0.2903,0.5806,5,35,32,12,3,13,2019-02-11
Nets,148,0.4602,0.4,0.5778,16,44,31,4,13,18,2019-02-13
Cavaliers,139,0.45,0.4286,0.3095,18,39,35,7,4,15,2019-02-13
Trail Blazers,113,0.4381,0.2188,0.4375,19,41,19,7,9,13,2019-02-21
Nets,99,0.3913,0.1944,0.5556,12,37,26,4,2,12,2019-02-21
Nets,117,0.4598,0.3953,0.4651,11,31,23,5,6,12,2019-02-23
Hornets,115,0.4535,0.3429,0.7143,12,30,15,4,5,12,2019-02-23
Spurs,85,0.3646,0.1667,0.4583,10,37,14,6,6,11,2019-02-25
Nets,101,0.4321,0.38,0.24,6,45,24,5,5,15,2019-02-25
Wizards,125,0.4583,0.2973,0.7027,17,40,34,10,4,17,2019-02-27
Nets,116,0.4588,0.2286,0.8571,7,34,20,7,3,16,2019-02-27
Hornets,123,0.5319,0.4286,0.6667,10,30,24,6,4,13,2019-03-01
Nets,112,0.5116,0.3125,0.4375,7,30,27,2,5,15,2019-03-01
Nets,88,0.3523,0.2143,0.4048,7,29,20,6,6,11,2019-03-02
Heat,117,0.4889,0.4118,0.4412,11,46,36,5,9,11,2019-03-02
Mavericks,88,0.3563,0.2667,0.3111,5,31,20,4,3,13,2019-03-04
Nets,127,0.5647,0.4146,0.3415,3,45,29,8,1,13,2019-03-04
Cavaliers,107,0.4023,0.4211,0.5526,11,36,23,7,3,17,2019-03-06
Nets,113,0.4725,0.3636,0.4545,11,39,21,5,7,14,2019-03-06
Pistons,75,0.2784,0.2353,0.3824,17,32,16,7,3,12,2019-03-11
Nets,103,0.4937,0.3548,0.4516,5,48,21,9,4,17,2019-03-11
Nets,96,0.4167,0.3714,0.3714,7,36,19,7,5,16,2019-03-13
Thunder,108,0.4271,0.3929,0.5357,16,35,21,9,6,11,2019-03-13
Nets,98,0.3474,0.3333,0.5556,8,36,20,9,5,7,2019-03-16
Jazz,114,0.4286,0.3611,0.6389,15,50,24,3,7,15,2019-03-16
Nets,116,0.42,0.3684,0.4737,15,36,26,6,7,14,2019-03-17
Clippers,119,0.433,0.3871,0.7419,16,38,26,8,6,13,2019-03-17
Nets,123,0.5,0.3429,0.4857,11,30,28,16,4,18,2019-03-19
Kings,121,0.5158,0.36,0.56,14,32,25,13,1,20,2019-03-19
Nets,111,0.4022,0.381,0.5,11,36,21,8,4,13,2019-03-22
Lakers,106,0.3854,0.25,0.6389,19,40,21,8,9,16,2019-03-22
Nets,144,0.4757,0.3571,0.7381,15,44,25,3,4,16,2019-03-25
Trail Blazers,148,0.438,0.3111,0.6222,16,39,35,9,5,3,2019-03-25
76ers,87,0.3908,0.1923,0.5385,6,41,18,8,5,16,2018-10-16
Celtics,105,0.433,0.2973,0.2703,12,43,21,7,5,14,2018-10-16
Celtics,101,0.404,0.3889,0.1944,16,33,29,4,6,14,2018-10-19
Raptors,113,0.4674,0.3714,0.4,12,37,24,3,3,12,2018-10-19
Celtics,103,0.4024,0.36,1.12,11,36,21,8,2,15,2018-10-20
Knicks,101,0.4138,0.3429,0.4857,11,35,23,8,1,16,2018-10-20
Magic,93,0.4086,0.2857,0.2,8,41,28,6,2,9,2018-10-22
Celtics,90,0.4066,0.225,0.175,9,42,21,6,3,12,2018-10-22
Celtics,101,0.3837,0.3438,0.75,10,35,19,7,1,11,2018-10-25
Thunder,95,0.3936,0.25,0.5,16,41,19,5,6,16,2018-10-25
Celtics,109,0.4535,0.4118,0.5,8,46,25,4,8,13,2018-10-27
Pistons,89,0.3708,0.1892,0.4324,6,41,16,4,3,11,2018-10-27
Pistons,105,0.4205,0.2667,0.7667,11,39,17,6,3,17,2018-10-30
Celtics,108,0.4405,0.2903,0.8065,8,38,25,8,4,14,2018-10-30
Bucks,113,0.4824,0.3103,0.7586,8,37,20,8,3,14,2018-11-01
Celtics,117,0.4457,0.4364,0.2,8,34,30,5,8,12,2018-11-01
Celtics,101,0.4318,0.413,0.1304,10,35,23,6,8,14,2018-11-03
Pacers,102,0.4186,0.3438,0.5938,8,37,23,10,2,13,2018-11-03
Celtics,107,0.5057,0.2903,0.3226,7,33,22,9,9,12,2018-11-05
Nuggets,115,0.4556,0.3824,0.5882,15,32,25,5,4,13,2018-11-05
Celtics,116,0.4021,0.3784,0.6486,17,39,21,6,6,16,2018-11-08
Suns,109,0.4409,0.3143,0.4571,4,38,25,10,6,15,2018-11-08
Celtics,115,0.4432,0.3953,0.4651,5,23,31,11,3,8,2018-11-09
Jazz,123,0.5584,0.3824,0.7059,8,37,29,4,4,16,2018-11-09
Celtics,94,0.3871,0.3333,0.1905,11,31,19,11,5,12,2018-11-11
Trail Blazers,100,0.4535,0.3889,0.2222,15,40,22,4,2,21,2018-11-11
Bulls,82,0.3929,0.3043,0.3913,7,40,16,8,3,22,2018-11-14
Celtics,111,0.4667,0.4412,0.3529,8,43,27,12,5,13,2018-11-14
Raptors,116,0.433,0.2759,0.8276,11,32,20,12,4,13,2018-11-16
Celtics,123,0.5281,0.3462,0.7692,9,37,25,9,6,18,2018-11-16
Jazz,98,0.4487,0.2895,0.4474,7,39,23,11,4,14,2018-11-17
Celtics,86,0.3846,0.1515,0.3333,17,34,16,11,4,14,2018-11-17
Celtics,112,0.5056,0.2812,0.4062,8,33,31,9,6,12,2018-11-19
Hornets,117,0.4831,0.3659,0.3902,8,36,18,5,3,13,2018-11-19
Knicks,117,0.4944,0.5,0.4667,9,40,25,3,11,17,2018-11-21
Celtics,109,0.3918,0.303,0.697,15,35,30,10,9,8,2018-11-21
Celtics,104,0.4767,0.3571,0.4286,9,33,19,8,3,17,2018-11-24
Mavericks,113,0.4828,0.3902,0.3171,13,30,27,12,3,16,2018-11-24
Celtics,124,0.4948,0.4872,0.2308,14,28,27,14,4,13,2018-11-26
Pelicans,107,0.4416,0.375,0.8438,9,31,21,8,5,22,2018-11-26
Cavaliers,95,0.3896,0.3182,1.2727,9,27,18,5,1,13,2018-11-30
Celtics,128,0.5326,0.5484,0.4194,12,35,30,4,4,10,2018-11-30
Celtics,118,0.4706,0.3864,0.4773,7,33,30,9,3,14,2018-12-01
Timberwolves,109,0.4512,0.3214,0.9286,9,30,19,6,2,16,2018-12-01
Knicks,100,0.3956,0.3429,0.4571,14,33,21,4,5,16,2018-12-06
Celtics,128,0.5326,0.3421,0.4474,7,39,32,8,6,9,2018-12-06
Celtics,133,0.5376,0.5116,0.2558,13,41,34,10,4,7,2018-12-08
Bulls,77,0.3827,0.25,0.375,8,29,16,3,2,15,2018-12-08
Pelicans,100,0.4483,0.3077,0.5385,6,33,28,11,1,13,2018-12-10
Celtics,113,0.4889,0.3077,0.3333,14,37,23,8,5,13,2018-12-10
Celtics,130,0.4519,0.2895,0.6579,14,36,20,6,2,13,2018-12-12
